ID,CNN,Street_Name_1,Street_Name_2,X_Coord,Y_Coord,Latitude,Longitude,Zip_Code,elevation_m
368367,25320000,ROMOLO PL,FRESNO ST,6010897.2,2118856.0,37.79858865104,-122.40637263115,94133.0,32.006393433
368366,25319000,BROADWAY,ROMOLO PL,6010933.0,2118611.8,37.79792013981,-122.40623153682,94133.0,21.874237061
368365,25320000,FRESNO ST,ROMOLO PL,6010897.2,2118856.0,37.79858865104,-122.40637263115,94133.0,32.006393433
368364,25323000,ROMOLO PL,POLLARD PL,6010882.8,2118959.6,37.79887230586,-122.40642976378,94133.0,37.873699188
368363,25319000,ROMOLO PL,BROADWAY,6010933.0,2118611.8,37.79792013981,-122.40623153682,94133.0,21.874237061
368362,25323000,VALLEJO ST,ROMOLO PL,6010882.8,2118959.6,37.79887230586,-122.40642976378,94133.0,37.873699188
368361,25323000,ROMOLO PL,VALLEJO ST,6010882.8,2118959.6,37.79887230586,-122.40642976378,94133.0,37.873699188
368360,25323000,POLLARD PL,ROMOLO PL,6010882.8,2118959.6,37.79887230586,-122.40642976378,94133.0,37.873699188
368315,22223000,MAYOR EDWIN M. LEE AVE,LEE AVE,5996534.5,2091789.5,37.72345700662,-122.45411589804,94112.0,90.915397644
368314,22223000,MAYOR EDWIN M. LEE AVE,OCEAN AVE,5996534.5,2091789.5,37.72345700662,-122.45411589804,94112.0,90.915397644
368313,22223000,LEE AVE,MAYOR EDWIN M. LEE AVE,5996534.5,2091789.5,37.72345700662,-122.45411589804,94112.0,90.915397644
368312,22223000,OCEAN AVE,MAYOR EDWIN M. LEE AVE,5996534.5,2091789.5,37.72345700662,-122.45411589804,94112.0,90.915397644
368311,54433000,MAYOR EDWIN M. LEE AVE,DIEGO LN,5996639.9,2093178.9,37.72727801263,-122.4538518396,,96.184448242
368310,54435000,LOQUAT LN,MEYER LN,5996205.6,2092982.9,37.72671493381,-122.45533904494,,89.124832153
368309,54435000,MEYER LN,LOQUAT LN,5996205.6,2092982.9,37.72671493381,-122.45533904494,,89.124832153
368308,54431000,MAYOR EDWIN M. LEE AVE,WISTERIA LN,5996629.3,2092283.6,37.7248191238,-122.4538238576,,94.118049622
368307,54432000,MEYER LN,MAYOR EDWIN M. LEE AVE,5996637.5,2092977.8,37.72672570229,-122.45384562006,,95.66443634
368306,54434000,WISTERIA LN,LOQUAT LN,5996171.7,2092414.7,37.72515284697,-122.45541518772,,91.664779663
368305,54433000,DIEGO LN,MAYOR EDWIN M. LEE AVE,5996639.9,2093178.9,37.72727801263,-122.4538518396,,96.184448242
368304,54434000,LOQUAT LN,WISTERIA LN,5996171.7,2092414.7,37.72515284697,-122.45541518772,,91.664779663
368303,54431000,WISTERIA LN,MAYOR EDWIN M. LEE AVE,5996629.3,2092283.6,37.7248191238,-122.4538238576,,94.118049622
368302,54350000,LEE AVE,MAYOR EDWIN M. LEE AVE,5996550.2,2091995.3,37.72402298496,-122.45407648284,94112.0,91.064102173
368301,54432000,MAYOR EDWIN M. LEE AVE,MEYER LN,5996637.5,2092977.8,37.72672570229,-122.45384562006,,95.66443634
368300,54350000,MAYOR EDWIN M. LEE AVE,LEE AVE,5996550.2,2091995.3,37.72402298496,-122.45407648284,94112.0,91.064102173
368237,54091000,03RD ST,THE FEENEY WAY,6015607.0,2107574.4,37.76787426654,-122.38928689102,94158.0,4.210013866
368236,54102000,FIFTH ST,THE FEENEY WAY,6014662.4,2107521.9,37.76767770002,-122.39255050639,94158.0,4.624348164
368235,54102000,THE FEENEY WAY,FIFTH ST,6014662.4,2107521.9,37.76767770002,-122.39255050639,94158.0,4.624348164
